2020-05-20 14:35:15,949 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:35:32,767 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:35:33,209 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:35:33,613 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:35:33,987 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:36:23,149 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:36:23,518 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:36:23,909 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:36:24,318 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:37:00,075 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:37:00,444 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:37:00,823 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:37:01,199 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:39:27,100 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:39:27,495 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:39:27,884 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:39:28,266 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:40:58,980 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:40:59,362 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:40:59,769 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:41:00,141 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:43:18,946 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:43:21,838 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:43:24,692 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:43:27,544 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:44:31,787 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:44:35,333 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:44:38,671 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:44:42,102 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:45:19,476 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:45:19,851 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:45:20,225 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:45:20,596 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:47:08,652 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:47:09,054 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:47:09,432 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:47:09,821 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:48:18,363 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:48:18,735 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:48:19,137 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:48:19,526 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:48:48,718 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:48:49,089 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:48:49,471 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:48:49,869 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:50:10,607 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:50:10,987 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:50:11,361 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:50:11,753 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 15:48:57,944 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 15:48:58,344 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 15:48:58,723 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 15:48:59,096 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 15:52:24,837 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 15:52:25,200 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 15:52:25,616 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 15:52:26,022 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 15:53:55,298 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 15:53:55,673 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 15:53:56,101 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 15:53:56,554 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 15:54:51,990 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 15:54:52,370 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 15:54:52,755 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 15:54:53,130 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 15:56:58,705 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 15:56:59,096 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 15:56:59,472 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 15:57:00,036 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 15:59:31,532 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 15:59:31,944 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 15:59:32,322 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 15:59:32,702 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:02:14,309 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:02:14,681 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:02:15,050 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:02:15,423 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:06:23,705 - [test_demo1.py-->line:74] - INFO: 用例注册成功,测试通过
2020-05-21 16:06:23,991 - [test_demo1.py-->line:74] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:06:24,269 - [test_demo1.py-->line:74] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:06:24,550 - [test_demo1.py-->line:74] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:07:49,174 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:07:49,539 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:07:49,925 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:07:50,293 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:07:58,998 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:07:59,394 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:07:59,776 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:08:00,157 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:09:10,296 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:09:10,664 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:09:11,038 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:09:11,413 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:10:41,759 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:10:42,130 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:10:42,508 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-21 16:10:42,878 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-21 16:11:08,129 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-21 16:11:08,555 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-21 16:11:08,933 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
